"Hourly flow (m3/s), for default inSTREAM 6.0 project",
Values provided for water years 1995-99, Save in .csv format
Date,Hour,Green River flow (cms)
6/12/1999,16,298.2
6/12/1999,17,297.4
6/12/1999,18,297.3
6/12/1999,19,288.1
6/12/1999,20,297.7
6/12/1999,21,297.4
6/12/1999,22,298.5
6/12/1999,23,297.8
6/13/1999,0,296.7
6/13/1999,1,298.1
6/13/1999,2,298.6
6/13/1999,3,297.8
6/13/1999,4,297.3
6/13/1999,5,297.4
6/13/1999,6,286.7
6/13/1999,7,298
6/13/1999,8,297.2
6/13/1999,9,298.1
6/13/1999,10,298.2
6/13/1999,11,297.9
6/13/1999,12,297.5
6/13/1999,13,297.3
6/13/1999,14,298.1
6/13/1999,15,297.2
6/13/1999,16,297.8
6/13/1999,17,297.9
6/13/1999,18,297.3
6/13/1999,19,298.2
6/13/1999,20,298.2
6/13/1999,21,297.9
6/13/1999,22,298.1
6/13/1999,23,298.5
6/14/1999,0,298.5
6/14/1999,1,298.5
6/14/1999,2,297.4
6/14/1999,3,298.3
6/14/1999,4,297.3
6/14/1999,5,298.6
6/14/1999,6,297.9
6/14/1999,7,297.7
6/14/1999,8,297.8
6/14/1999,9,297.5
6/14/1999,10,298.3
6/14/1999,11,296.9
6/14/1999,12,288.1
6/14/1999,13,297.7
6/14/1999,14,297.3
6/14/1999,15,287.4
6/14/1999,16,297.3
6/14/1999,17,298.2
6/14/1999,18,296.8
6/14/1999,19,298.2
6/14/1999,20,298.7
6/14/1999,21,297.8
6/14/1999,22,297.4
6/14/1999,23,298.1
6/15/1999,0,288.6
6/15/1999,1,298
6/15/1999,2,298.7
6/15/1999,3,298.2
6/15/1999,4,287.8
6/15/1999,5,297
6/15/1999,6,297.6
6/15/1999,7,297.7
6/15/1999,8,297.6
6/15/1999,9,297.9
6/15/1999,10,297.4
6/15/1999,11,297.8
6/15/1999,12,297.4
6/15/1999,13,296.9
6/15/1999,14,297.8
6/15/1999,15,297.8
6/15/1999,16,297.8
6/15/1999,17,297.6
6/15/1999,18,297.9
6/15/1999,19,298.1
6/15/1999,20,298
6/15/1999,21,297.2
6/15/1999,22,298.2
6/15/1999,23,298.1
6/16/1999,0,297.8
6/16/1999,1,297.8
6/16/1999,2,298.3
6/16/1999,3,297.4
6/16/1999,4,297.4
6/16/1999,5,298.1
6/16/1999,6,298.2
6/16/1999,7,297.4
6/16/1999,8,297.2
6/16/1999,9,297.5
6/16/1999,10,297.6
6/16/1999,11,297.3
6/16/1999,12,297.3
6/16/1999,13,297
6/16/1999,14,297
6/16/1999,15,297.8
6/16/1999,16,296.9
6/16/1999,17,297.3
6/16/1999,18,297.5
6/16/1999,19,297.4
6/16/1999,20,297.3
6/16/1999,21,298.4
6/16/1999,22,298
6/16/1999,23,298
6/17/1999,0,298.2
6/17/1999,1,297.9
6/17/1999,2,297.8
6/17/1999,3,297.7
6/17/1999,4,297.9
6/17/1999,5,297.3
6/17/1999,6,298.4
6/17/1999,7,297.6
6/17/1999,8,297.5
6/17/1999,9,298.6
6/17/1999,10,299
6/17/1999,11,297.9
6/17/1999,12,297.7
6/17/1999,13,297.3
6/17/1999,14,297.4
6/17/1999,15,297.4
6/17/1999,16,299.3
6/17/1999,17,297.3
6/17/1999,18,297.6
6/17/1999,19,296.5
6/17/1999,20,297.8
6/17/1999,21,297.8
6/17/1999,22,297.7
6/17/1999,23,297.6
6/18/1999,0,297.3
6/18/1999,1,298.5
6/18/1999,2,296.9
6/18/1999,3,296.8
6/18/1999,4,297.7
6/18/1999,5,297.7
6/18/1999,6,298.3
6/18/1999,7,298.5
6/18/1999,8,298.4
6/18/1999,9,297.7
6/18/1999,10,298.6
6/18/1999,11,288.4
6/18/1999,12,298.2
6/18/1999,13,297.6
6/18/1999,14,287.4
6/18/1999,15,296.8
6/18/1999,16,296.8
6/18/1999,17,297.2
6/18/1999,18,297.2
6/18/1999,19,296.2
6/18/1999,20,297
6/18/1999,21,296.3
6/18/1999,22,297.8
6/18/1999,23,296.3
6/19/1999,0,296.8
6/19/1999,1,297
6/19/1999,2,297.5
6/19/1999,3,297.3
6/19/1999,4,297.4
6/19/1999,5,297.9
6/19/1999,6,296.5
6/19/1999,7,296.6
6/19/1999,8,297.7
6/19/1999,9,297.2
6/19/1999,10,297
6/19/1999,11,297.5
6/19/1999,12,297
6/19/1999,13,297.3
6/19/1999,14,296.7
6/19/1999,15,297.6
6/19/1999,16,297.3
6/19/1999,17,297.7
6/19/1999,18,296.6
6/19/1999,19,296.5
6/19/1999,20,296.9
6/19/1999,21,296.3
6/19/1999,22,296.3
6/19/1999,23,296.2
6/20/1999,0,296.9
6/20/1999,1,297.8
6/20/1999,2,297.5
6/20/1999,3,296.9
6/20/1999,4,296.9
6/20/1999,5,296.8
6/20/1999,6,296.3
6/20/1999,7,296.4
6/20/1999,8,296.8
6/20/1999,9,297.5
6/20/1999,10,296.3
6/20/1999,11,296.4
6/20/1999,12,296.5
6/20/1999,13,296.9
6/20/1999,14,296.6
6/20/1999,15,296.2
6/20/1999,16,296.6
6/20/1999,17,295.7
6/20/1999,18,296.1
6/20/1999,19,296.5
6/20/1999,20,296.7
6/20/1999,21,295.7
6/20/1999,22,295.7
6/20/1999,23,296.5
6/21/1999,0,295.9
6/21/1999,1,296.5
6/21/1999,2,296.4
6/21/1999,3,286.9
6/21/1999,4,296.8
6/21/1999,5,297.4
6/21/1999,6,297.5
6/21/1999,7,276.7
6/21/1999,8,282.5
6/21/1999,9,264.3
6/21/1999,10,269.2
6/21/1999,11,257.4
6/21/1999,12,252.2
6/21/1999,13,247.4
6/21/1999,14,240.6
6/21/1999,15,235.8
6/21/1999,16,242.7
6/21/1999,17,242.1
6/21/1999,18,241.9
6/21/1999,19,241.8
6/21/1999,20,242
6/21/1999,21,241.7
6/21/1999,22,242.2
6/21/1999,23,242.5
6/22/1999,0,242.2
6/22/1999,1,242.1
6/22/1999,2,242.8
6/22/1999,3,242.9
6/22/1999,4,243.5
6/22/1999,5,242.6
6/22/1999,6,241.8
6/22/1999,7,242.4
6/22/1999,8,229.8
6/22/1999,9,216.2
6/22/1999,10,215.9
6/22/1999,11,197.9
6/22/1999,12,197.8
6/22/1999,13,197.7
6/22/1999,14,196.9
6/22/1999,15,197.6
6/22/1999,16,196
6/22/1999,17,198.5
6/22/1999,18,197.1
6/22/1999,19,197.9
6/22/1999,20,198.3
6/22/1999,21,196.9
6/22/1999,22,197.5
6/22/1999,23,197.4
6/23/1999,0,198.7
6/23/1999,1,198
6/23/1999,2,197.6
6/23/1999,3,198.6
6/23/1999,4,197.7
6/23/1999,5,197.3
6/23/1999,6,198.4
6/23/1999,7,185.3
6/23/1999,8,184.6
6/23/1999,9,177.6
6/23/1999,10,171.1
6/23/1999,11,155.8
6/23/1999,12,155.6
6/23/1999,13,155.2
6/23/1999,14,155
6/23/1999,15,155
6/23/1999,16,155
6/23/1999,17,155.9
6/23/1999,18,156.3
6/23/1999,19,155.7
6/23/1999,20,156.3
6/23/1999,21,155.2
6/23/1999,22,155.6
6/23/1999,23,155.8
6/24/1999,0,156
6/24/1999,1,155.3
6/24/1999,2,156.1
6/24/1999,3,155.5
6/24/1999,4,155.9
6/24/1999,5,156.7
6/24/1999,6,157.4
6/24/1999,7,141.6
6/24/1999,8,141.7
6/24/1999,9,128.6
6/24/1999,10,126.8
6/24/1999,11,128
6/24/1999,12,126.7
6/24/1999,13,127.6
6/24/1999,14,127
6/24/1999,15,126.2
6/24/1999,16,127.4
6/24/1999,17,126.4
6/24/1999,18,127.1
6/24/1999,19,127.9
6/24/1999,20,126.9
6/24/1999,21,126
6/24/1999,22,126.3
6/24/1999,23,127.7
6/25/1999,0,127.1
6/25/1999,1,127.1
6/25/1999,2,126.1
6/25/1999,3,127.1
6/25/1999,4,127.9
6/25/1999,5,127.3
6/25/1999,6,129.4
6/25/1999,7,127.5
6/25/1999,8,127.1
6/25/1999,9,126
6/25/1999,10,125.8
6/25/1999,11,126.1
6/25/1999,12,125.8
6/25/1999,13,126.6
6/25/1999,14,125.7
6/25/1999,15,126.3
6/25/1999,16,125.2
6/25/1999,17,124.5
6/25/1999,18,125.2
6/25/1999,19,124.9
6/25/1999,20,125.7
6/25/1999,21,124.8
6/25/1999,22,124.7
6/25/1999,23,126.3
6/26/1999,0,127.1
6/26/1999,1,127
6/26/1999,2,127.1
6/26/1999,3,125.5
6/26/1999,4,126.5
6/26/1999,5,126.1
6/26/1999,6,125.8
6/26/1999,7,125
6/26/1999,8,126
6/26/1999,9,126.5
6/26/1999,10,125.9
6/26/1999,11,125.6
6/26/1999,12,125.8
6/26/1999,13,124.7
6/26/1999,14,126.6
6/26/1999,15,126.5
6/26/1999,16,125.2
6/26/1999,17,125
6/26/1999,18,125.6
6/26/1999,19,125.8
6/26/1999,20,126
6/26/1999,21,124.7
6/26/1999,22,124.8
6/26/1999,23,126.3
6/27/1999,0,126.7
6/27/1999,1,126.7
6/27/1999,2,125.8
6/27/1999,3,125.4
6/27/1999,4,125.7
6/27/1999,5,125.9
6/27/1999,6,126.9
6/27/1999,7,126.3
6/27/1999,8,125.6
6/27/1999,9,126.9
6/27/1999,10,126.1
6/27/1999,11,125.6
6/27/1999,12,125.6
6/27/1999,13,125.8
6/27/1999,14,125.4
6/27/1999,15,125.4
6/27/1999,16,125.7
6/27/1999,17,124.8
6/27/1999,18,126.6
6/27/1999,19,127.1
6/27/1999,20,126.5
6/27/1999,21,126.3
6/27/1999,22,124.3
6/27/1999,23,124
6/28/1999,0,126.2
6/28/1999,1,126.2
6/28/1999,2,126.7
6/28/1999,3,125.8
6/28/1999,4,127.6
6/28/1999,5,125.7
6/28/1999,6,127.2
6/28/1999,7,127.9
6/28/1999,8,126.1
6/28/1999,9,127.7
6/28/1999,10,127
6/28/1999,11,126.1
6/28/1999,12,126.1
6/28/1999,13,125.7
6/28/1999,14,127
6/28/1999,15,126
6/28/1999,16,126.9
6/28/1999,17,124.6
6/28/1999,18,125.3
6/28/1999,19,126.9
6/28/1999,20,125.6
6/28/1999,21,125.1
6/28/1999,22,126.2
6/28/1999,23,125.8
6/29/1999,0,126.5
6/29/1999,1,126.9
6/29/1999,2,125.9
6/29/1999,3,125.8
6/29/1999,4,127
6/29/1999,5,126.7
6/29/1999,6,126.2
6/29/1999,7,125.2
6/29/1999,8,126.1
6/29/1999,9,125.1
6/29/1999,10,125.8
6/29/1999,11,124.8
6/29/1999,12,126.1
6/29/1999,13,126.9
6/29/1999,14,127.6
6/29/1999,15,126.9
6/29/1999,16,125.4
6/29/1999,17,125.3
6/29/1999,18,126.6
6/29/1999,19,126.1
6/29/1999,20,126.3
6/29/1999,21,125.7
6/29/1999,22,125.8
6/29/1999,23,126
6/30/1999,0,126.5
6/30/1999,1,126.1
6/30/1999,2,126.1
6/30/1999,3,126.1
6/30/1999,4,125.2
6/30/1999,5,126.1
6/30/1999,6,126.6
6/30/1999,7,126.6
6/30/1999,8,125.9
6/30/1999,9,126.5
6/30/1999,10,127.4
6/30/1999,11,125.8
6/30/1999,12,126.3
6/30/1999,13,126.7
6/30/1999,14,125.9
6/30/1999,15,126.1
6/30/1999,16,125.2
6/30/1999,17,125.3
6/30/1999,18,125.7
6/30/1999,19,127
6/30/1999,20,126.3
6/30/1999,21,126.4
6/30/1999,22,126.6
6/30/1999,23,126.3
7/1/1999,0,127.4
7/1/1999,1,127.1
7/1/1999,2,126.7
7/1/1999,3,126.5
7/1/1999,4,126.5
7/1/1999,5,127.7
7/1/1999,6,127
7/1/1999,7,127.8
7/1/1999,8,127.7
7/1/1999,9,127.3
7/1/1999,10,127
7/1/1999,11,126.9
7/1/1999,12,126.4
7/1/1999,13,126
7/1/1999,14,125.6
7/1/1999,15,126.6
7/1/1999,16,126.3
7/1/1999,17,126.3
7/1/1999,18,126.1
7/1/1999,19,126
7/1/1999,20,126.2
7/1/1999,21,125.6
7/1/1999,22,126.8
7/1/1999,23,124.8
7/2/1999,0,127.8
7/2/1999,1,126.6
7/2/1999,2,126.9
7/2/1999,3,126.7
7/2/1999,4,127.1
7/2/1999,5,126.6
7/2/1999,6,126.5
7/2/1999,7,125.7
7/2/1999,8,127.6
7/2/1999,9,126.2
7/2/1999,10,126.9
7/2/1999,11,125.7
7/2/1999,12,127.3
7/2/1999,13,126.7
7/2/1999,14,127.1
7/2/1999,15,125.3
7/2/1999,16,127
7/2/1999,17,127.1
7/2/1999,18,125.2
7/2/1999,19,125.4
7/2/1999,20,126
7/2/1999,21,124.9
7/2/1999,22,126.1
7/2/1999,23,125
7/3/1999,0,125.9
7/3/1999,1,125.5
7/3/1999,2,125.6
7/3/1999,3,125.5
7/3/1999,4,125.7
7/3/1999,5,126
7/3/1999,6,123.3
7/3/1999,7,107.6
7/3/1999,8,127.7
7/3/1999,9,127.1
7/3/1999,10,127.2
7/3/1999,11,127.5
7/3/1999,12,126.6
7/3/1999,13,126.6
7/3/1999,14,126.9
7/3/1999,15,126.8
7/3/1999,16,126.2
7/3/1999,17,127.3
7/3/1999,18,127
7/3/1999,19,126.1
7/3/1999,20,127
7/3/1999,21,126.8
7/3/1999,22,126.2
7/3/1999,23,126
7/4/1999,0,127
7/4/1999,1,125.6
7/4/1999,2,126
7/4/1999,3,126.3
7/4/1999,4,126.3
7/4/1999,5,126.4
7/4/1999,6,126.9
7/4/1999,7,127.1
7/4/1999,8,126.8
7/4/1999,9,127
7/4/1999,10,128.2
7/4/1999,11,126.9
7/4/1999,12,128.1
7/4/1999,13,126.7
7/4/1999,14,126.8
7/4/1999,15,126.6
7/4/1999,16,125.3
7/4/1999,17,127.1
7/4/1999,18,126.6
7/4/1999,19,126.1
7/4/1999,20,126.6
7/4/1999,21,127.3
7/4/1999,22,126.7
7/4/1999,23,127.3
7/5/1999,0,126.5
7/5/1999,1,127
7/5/1999,2,126.3
7/5/1999,3,126.5
7/5/1999,4,128.1
7/5/1999,5,127.3
7/5/1999,6,128.4
7/5/1999,7,128
7/5/1999,8,128.4
7/5/1999,9,127.9
7/5/1999,10,127.4
7/5/1999,11,128.2
7/5/1999,12,127.2
7/5/1999,13,127
7/5/1999,14,127.1
7/5/1999,15,127.3
7/5/1999,16,126.7
7/5/1999,17,126.1
7/5/1999,18,126.6
7/5/1999,19,128.2
7/5/1999,20,128.1
7/5/1999,21,126.3
7/5/1999,22,127.1
7/5/1999,23,126.4
7/6/1999,0,127.1
7/6/1999,1,127.8
7/6/1999,2,127.6
7/6/1999,3,127
7/6/1999,4,128.3
7/6/1999,5,128.4
7/6/1999,6,128.6
7/6/1999,7,127.5
7/6/1999,8,127.7
7/6/1999,9,129.4
7/6/1999,10,128.6
7/6/1999,11,127.1
7/6/1999,12,126.9
7/6/1999,13,127
7/6/1999,14,127.3
7/6/1999,15,127.6
7/6/1999,16,127.6
7/6/1999,17,127
7/6/1999,18,127.9
7/6/1999,19,127
7/6/1999,20,126.3
7/6/1999,21,125.4
7/6/1999,22,126.6
7/6/1999,23,126.3
7/7/1999,0,127
7/7/1999,1,127.7
7/7/1999,2,127.1
7/7/1999,3,127.1
7/7/1999,4,127.1
7/7/1999,5,126.9
7/7/1999,6,127.9
7/7/1999,7,128.1
7/7/1999,8,127.6
7/7/1999,9,127.5
7/7/1999,10,127.6
7/7/1999,11,127.9
7/7/1999,12,127
7/7/1999,13,126.7
7/7/1999,14,126.7
7/7/1999,15,127.9
7/7/1999,16,126.7
7/7/1999,17,126.3
7/7/1999,18,126.5
7/7/1999,19,126.1
7/7/1999,20,126.9
7/7/1999,21,126.5
7/7/1999,22,126.7
7/7/1999,23,128.2
7/8/1999,0,128.9
7/8/1999,1,128.3
7/8/1999,2,128.8
7/8/1999,3,128.3
7/8/1999,4,127.3
7/8/1999,5,126.4
7/8/1999,6,126.7
7/8/1999,7,126.7
7/8/1999,8,128
7/8/1999,9,128.1
7/8/1999,10,128.7
7/8/1999,11,128.2
7/8/1999,12,127.3
7/8/1999,13,127.7
7/8/1999,14,127.4
7/8/1999,15,126.8
7/8/1999,16,126.2
7/8/1999,17,127
7/8/1999,18,127.1
7/8/1999,19,128.4
7/8/1999,20,127.4
7/8/1999,21,127
7/8/1999,22,127.8
7/8/1999,23,128.2
7/9/1999,0,127.6
7/9/1999,1,127.4
7/9/1999,2,127.5
7/9/1999,3,128.6
7/9/1999,4,128.5
7/9/1999,5,126.7
7/9/1999,6,128.1
7/9/1999,7,128.6
7/9/1999,8,128.7
7/9/1999,9,129.7
7/9/1999,10,127.3
7/9/1999,11,127.5
7/9/1999,12,128
7/9/1999,13,127.6
7/9/1999,14,128.7
7/9/1999,15,126.8
7/9/1999,16,127.5
7/9/1999,17,126.8
7/9/1999,18,127
7/9/1999,19,128.8
7/9/1999,20,127.4
7/9/1999,21,128.2
7/9/1999,22,128
7/9/1999,23,127.9
7/10/1999,0,128.3
7/10/1999,1,127.9
7/10/1999,2,128.4
7/10/1999,3,128.4
7/10/1999,4,127.3
7/10/1999,5,127.8
7/10/1999,6,128.7
7/10/1999,7,127.6
7/10/1999,8,128.4
7/10/1999,9,129.6
7/10/1999,10,127.8
7/10/1999,11,127.1
7/10/1999,12,127.8
7/10/1999,13,128.6
7/10/1999,14,127.7
7/10/1999,15,127.8
7/10/1999,16,126.7
7/10/1999,17,127.8
7/10/1999,18,126.9
7/10/1999,19,127.4
7/10/1999,20,127.9
7/10/1999,21,127.1
7/10/1999,22,127.5
7/10/1999,23,127.8
7/11/1999,0,128.4
7/11/1999,1,128
7/11/1999,2,129.1
7/11/1999,3,128.8
7/11/1999,4,127.6
7/11/1999,5,127.7
7/11/1999,6,128.2
7/11/1999,7,127.9
7/11/1999,8,128.7
7/11/1999,9,128.3
7/11/1999,10,128.7
7/11/1999,11,127.3
7/11/1999,12,127.5
7/11/1999,13,127.9
7/11/1999,14,127.3
7/11/1999,15,126.7
7/11/1999,16,127.7
7/11/1999,17,128.3
7/11/1999,18,126.7
7/11/1999,19,127
7/11/1999,20,127.6
7/11/1999,21,127
7/11/1999,22,126.6
7/11/1999,23,127.7
7/12/1999,0,127.7
7/12/1999,1,127.6
7/12/1999,2,127.6
7/12/1999,3,127.2
7/12/1999,4,128.8
7/12/1999,5,128.8
7/12/1999,6,127.6
7/12/1999,7,128.2
7/12/1999,8,127.9
7/12/1999,9,128.6
7/12/1999,10,128.4
7/12/1999,11,127.4
7/12/1999,12,128.4
7/12/1999,13,126.7
7/12/1999,14,127.8
7/12/1999,15,126.5
7/12/1999,16,126
7/12/1999,17,128.7
7/12/1999,18,127
7/12/1999,19,127
7/12/1999,20,126.2
7/12/1999,21,127.3
7/12/1999,22,128.2
7/12/1999,23,128.3
7/13/1999,0,127.3
7/13/1999,1,127.1
7/13/1999,2,127.3
7/13/1999,3,128.7
7/13/1999,4,127
7/13/1999,5,127.5
7/13/1999,6,113.6
7/13/1999,7,112.2
7/13/1999,8,112.7
7/13/1999,9,113.5
7/13/1999,10,113.6
7/13/1999,11,113
7/13/1999,12,114.3
7/13/1999,13,114.1
7/13/1999,14,113.4
7/13/1999,15,114.2
7/13/1999,16,113.2
7/13/1999,17,113
7/13/1999,18,113.7
7/13/1999,19,114.3
7/13/1999,20,113.8
7/13/1999,21,114.1
7/13/1999,22,114.7
7/13/1999,23,111.3
7/14/1999,0,103.1
7/14/1999,1,103.5
7/14/1999,2,102.8
7/14/1999,3,102.7
7/14/1999,4,102
7/14/1999,5,103.6
7/14/1999,6,101.4
7/14/1999,7,101.6
7/14/1999,8,102.5
7/14/1999,9,103.3
7/14/1999,10,101.8
7/14/1999,11,103
7/14/1999,12,102.5
7/14/1999,13,102.5
7/14/1999,14,102.1
7/14/1999,15,103
7/14/1999,16,102.3
7/14/1999,17,102.2
7/14/1999,18,102.9
7/14/1999,19,101.4
7/14/1999,20,103
7/14/1999,21,102.9
7/14/1999,22,102.9
7/14/1999,23,100.1
7/15/1999,0,91
7/15/1999,1,87.6
7/15/1999,2,87.8
7/15/1999,3,87.5
7/15/1999,4,88.5
7/15/1999,5,88.9
7/15/1999,6,92.3
7/15/1999,7,92
7/15/1999,8,91.9
7/15/1999,9,91.6
7/15/1999,10,93
7/15/1999,11,92.4
7/15/1999,12,91.4
7/15/1999,13,94.7
7/15/1999,14,100
7/15/1999,15,101.5
7/15/1999,16,100.3
7/15/1999,17,100.5
7/15/1999,18,100.8
7/15/1999,19,96.9
7/15/1999,20,86.9
7/15/1999,21,84.2
7/15/1999,22,83.8
7/15/1999,23,83.5
7/16/1999,0,81.3
7/16/1999,1,81.3
7/16/1999,2,82.5
7/16/1999,3,82
7/16/1999,4,82.7
7/16/1999,5,81.7
7/16/1999,6,82.4
7/16/1999,7,82.1
7/16/1999,8,81.6
7/16/1999,9,81.9
7/16/1999,10,81.3
7/16/1999,11,81.9
7/16/1999,12,81.8
7/16/1999,13,81.7
7/16/1999,14,82.4
7/16/1999,15,84
7/16/1999,16,87
7/16/1999,17,83.8
7/16/1999,18,83.6
7/16/1999,19,83.3
7/16/1999,20,83
7/16/1999,21,75.8
7/16/1999,22,73.5
7/16/1999,23,72.9
7/17/1999,0,69.8
7/17/1999,1,70.5
7/17/1999,2,70.1
7/17/1999,3,69.7
7/17/1999,4,70.6
7/17/1999,5,70.6
7/17/1999,6,69.3
7/17/1999,7,70.3
7/17/1999,8,70.1
7/17/1999,9,69.8
7/17/1999,10,70.2
7/17/1999,11,70.1
7/17/1999,12,70.2
7/17/1999,13,70.1
7/17/1999,14,70.8
7/17/1999,15,71.6
7/17/1999,16,76.3
7/17/1999,17,70.2
7/17/1999,18,69.5
7/17/1999,19,69.9
7/17/1999,20,69.5
7/17/1999,21,67.1
7/17/1999,22,65.4
7/17/1999,23,61.6
7/18/1999,0,54.7
7/18/1999,1,54.4
7/18/1999,2,54.4
7/18/1999,3,54.2
7/18/1999,4,54.7
7/18/1999,5,54.3
7/18/1999,6,56.5
7/18/1999,7,56
7/18/1999,8,55.7
7/18/1999,9,57.9
7/18/1999,10,59.6
7/18/1999,11,59.9
7/18/1999,12,61.7
7/18/1999,13,64.6
7/18/1999,14,67.1
7/18/1999,15,73.4
7/18/1999,16,78.1
7/18/1999,17,71.5
7/18/1999,18,63.1
7/18/1999,19,56.7
7/18/1999,20,57
7/18/1999,21,56.4
7/18/1999,22,55.3
7/18/1999,23,55.4
7/19/1999,0,54.8
7/19/1999,1,55.1
7/19/1999,2,54.4
7/19/1999,3,54.1
7/19/1999,4,54
7/19/1999,5,54.7
7/19/1999,6,56.6
7/19/1999,7,55.8
7/19/1999,8,56.4
7/19/1999,9,56.1
7/19/1999,10,58
7/19/1999,11,58.2
7/19/1999,12,60
7/19/1999,13,67.3
7/19/1999,14,67.5
7/19/1999,15,74
7/19/1999,16,73.7
7/19/1999,17,71.5
7/19/1999,18,63.8
7/19/1999,19,60.5
7/19/1999,20,59.4
7/19/1999,21,56.1
7/19/1999,22,55
7/19/1999,23,54.5
7/20/1999,0,55
7/20/1999,1,54.4
7/20/1999,2,55.3
7/20/1999,3,54.8
7/20/1999,4,54.5
7/20/1999,5,55
7/20/1999,6,56
7/20/1999,7,56
7/20/1999,8,56.4
7/20/1999,9,56.4
7/20/1999,10,61.2
7/20/1999,11,60.7
7/20/1999,12,60.5
7/20/1999,13,61
7/20/1999,14,67.1
7/20/1999,15,73.5
7/20/1999,16,74
7/20/1999,17,70.9
7/20/1999,18,63.5
7/20/1999,19,60.7
7/20/1999,20,59.1
7/20/1999,21,56
7/20/1999,22,54.6
7/20/1999,23,55.1
7/21/1999,0,54.9
7/21/1999,1,54.9
7/21/1999,2,54.3
7/21/1999,3,54.6
7/21/1999,4,54.7
7/21/1999,5,55
7/21/1999,6,56.1
7/21/1999,7,56.7
7/21/1999,8,56.7
7/21/1999,9,57.5
7/21/1999,10,60.8
7/21/1999,11,60.5
7/21/1999,12,60.9
7/21/1999,13,64.6
7/21/1999,14,67.2
7/21/1999,15,73.8
7/21/1999,16,73.6
7/21/1999,17,70.9
7/21/1999,18,64.4
7/21/1999,19,59.4
7/21/1999,20,56.5
7/21/1999,21,54.7
7/21/1999,22,49.7
7/21/1999,23,49.6
7/22/1999,0,50.2
7/22/1999,1,50.3
7/22/1999,2,49.6
7/22/1999,3,50.2
7/22/1999,4,49.7
7/22/1999,5,52.5
7/22/1999,6,57.5
7/22/1999,7,59
7/22/1999,8,58.8
7/22/1999,9,59.2
7/22/1999,10,60
7/22/1999,11,60.4
7/22/1999,12,62.9
7/22/1999,13,71.2
7/22/1999,14,76.9
7/22/1999,15,76.6
7/22/1999,16,76.3
7/22/1999,17,73.5
7/22/1999,18,63.7
7/22/1999,19,59.7
7/22/1999,20,59.9
7/22/1999,21,54.4
7/22/1999,22,49.6
7/22/1999,23,50.2
7/23/1999,0,50.2
7/23/1999,1,49.6
7/23/1999,2,50.1
7/23/1999,3,50
7/23/1999,4,49.3
7/23/1999,5,52.7
7/23/1999,6,57.9
7/23/1999,7,59.4
7/23/1999,8,58.4
7/23/1999,9,59.5
7/23/1999,10,60.7
7/23/1999,11,60.5
7/23/1999,12,62.5
7/23/1999,13,71.3
7/23/1999,14,77.4
7/23/1999,15,76.1
7/23/1999,16,75.6
7/23/1999,17,72.7
7/23/1999,18,63.5
7/23/1999,19,60.8
7/23/1999,20,59.2
7/23/1999,21,55
7/23/1999,22,49.4
7/23/1999,23,49.1
7/24/1999,0,50.1
7/24/1999,1,49.8
7/24/1999,2,49.7
7/24/1999,3,49.8
7/24/1999,4,49.8
7/24/1999,5,52
7/24/1999,6,58.6
7/24/1999,7,59.1
7/24/1999,8,58.5
7/24/1999,9,59.4
7/24/1999,10,61
7/24/1999,11,60.1
7/24/1999,12,63
7/24/1999,13,70.7
7/24/1999,14,76.5
7/24/1999,15,76.3
7/24/1999,16,75.6
7/24/1999,17,72.8
7/24/1999,18,63.1
7/24/1999,19,60.9
7/24/1999,20,60.1
7/24/1999,21,54.4
7/24/1999,22,49.5
7/24/1999,23,49.6
7/25/1999,0,49.7
7/25/1999,1,49.8
7/25/1999,2,49.6
7/25/1999,3,49.1
7/25/1999,4,49.7
7/25/1999,5,52.2
7/25/1999,6,58.4
7/25/1999,7,58.6
7/25/1999,8,58.4
7/25/1999,9,58.7
7/25/1999,10,60.4
7/25/1999,11,59.6
7/25/1999,12,62.6
7/25/1999,13,70.9
7/25/1999,14,76.1
7/25/1999,15,77
7/25/1999,16,76.2
7/25/1999,17,72.7
7/25/1999,18,63.2
7/25/1999,19,60.5
7/25/1999,20,59.9
7/25/1999,21,55.2
7/25/1999,22,49.9
7/25/1999,23,50
7/26/1999,0,49.6
7/26/1999,1,49.6
7/26/1999,2,49.6
7/26/1999,3,49.4
7/26/1999,4,49.6
7/26/1999,5,51.9
7/26/1999,6,59
7/26/1999,7,58.6
7/26/1999,8,58.7
7/26/1999,9,58.8
7/26/1999,10,59.4
7/26/1999,11,60.3
7/26/1999,12,63
7/26/1999,13,70.8
7/26/1999,14,76.2
7/26/1999,15,76.3
7/26/1999,16,77
7/26/1999,17,73.2
7/26/1999,18,64.4
7/26/1999,19,59.6
7/26/1999,20,59.6
7/26/1999,21,55.5
7/26/1999,22,50
7/26/1999,23,49.4
7/27/1999,0,49.7
7/27/1999,1,49.7
7/27/1999,2,49.6
7/27/1999,3,49.6
7/27/1999,4,49.2
7/27/1999,5,51.9
7/27/1999,6,58.6
7/27/1999,7,58.7
7/27/1999,8,59.4
7/27/1999,9,58.8
7/27/1999,10,60
7/27/1999,11,60.5
7/27/1999,12,63.1
7/27/1999,13,71
7/27/1999,14,75.4
7/27/1999,15,76.6
7/27/1999,16,76.9
7/27/1999,17,72.3
7/27/1999,18,63.4
7/27/1999,19,60.2
7/27/1999,20,58.7
7/27/1999,21,55
7/27/1999,22,49.7
7/27/1999,23,49.7
7/28/1999,0,49.3
